iter	Passed	Remaining
408	4280	6185
409	4290	6173
410	4299	6161
411	4309	6150
412	4319	6138
413	4329	6128
414	4339	6116
415	4349	6106
416	4359	6094
417	4370	6084
418	4379	6072
419	4390	6062
420	4398	6049
421	4406	6035
422	4415	6023
423	4423	6009
424	4432	5997
425	4441	5985
426	4452	5975
427	4462	5963
428	4472	5952
429	4481	5941
430	4491	5929
431	4502	5919
432	4512	5909
433	4523	5898
434	4533	5888
435	4544	5878
436	4555	5869
437	4566	5859
438	4577	5849
439	4588	5840
440	4599	5830
441	4609	5819
442	4619	5808
443	4630	5798
444	4639	5786
445	4650	5776
446	4661	5766
447	4673	5758
448	4683	5747
449	4695	5738
450	4706	5729
451	4716	5718
452	4727	5708
453	4738	5698
454	4746	5685
455	4757	5675
456	4768	5665
457	4779	5656
458	4790	5645
459	4800	5635
460	4811	5625
461	4822	5615
462	4832	5605
463	4844	5595
464	4854	5585
465	4866	5576
466	4876	5565
467	4885	5553
468	4894	5541
469	4903	5529
470	4912	5517
471	4921	5505
472	4930	5493
473	4940	5482
474	4949	5470
475	4959	5459
476	4969	5448
477	4978	5437
478	4987	5425
479	4996	5413
480	5005	5400
481	5014	5389
482	5024	5377
483	5035	5368
484	5047	5359
485	5059	5351
486	5070	5340
487	5081	5331
488	5092	5321
489	5100	5308
490	5111	5299
491	5122	5289
492	5133	5279
493	5144	5269
494	5155	5259
495	5166	5249
496	5176	5239
497	5187	5229
498	5198	5219
499	5209	5209
500	5220	5199
501	5230	5189
502	5241	5178
503	5252	5168
504	5261	5157
505	5273	5147
506	5283	5137
507	5294	5127
508	5304	5117
509	5315	5106
510	5325	5096
511	5336	5086
512	5346	5075
513	5357	5065
514	5368	5055
515	5378	5045
516	5388	5034
517	5398	5023
518	5408	5012
519	5418	5001
520	5428	4990
521	5437	4979
522	5447	4967
523	5457	4957
524	5468	4947
525	5477	4936
526	5487	4925
527	5497	4914
528	5506	4902
529	5516	4892
530	5527	4881
531	5536	4870
532	5546	4860
533	5557	4849
534	5567	4839
535	5577	4828
536	5588	4817
537	5597	4806
538	5607	4796
539	5617	4785
540	5627	4774
541	5637	4763
542	5647	4752
543	5657	4742
544	5666	4730
545	5675	4719
546	5685	4708
547	5695	4697
548	5705	4687
549	5715	4676
550	5725	4665
551	5734	4654
552	5744	4643
553	5752	4631
554	5760	4619
555	5769	4606
556	5776	4594
557	5784	4582
558	5792	4569
559	5800	4557
560	5810	4546
561	5820	4536
562	5831	4526
563	5842	4516
564	5852	4506
565	5863	4495
566	5871	4483
567	5881	4473
568	5892	4463
569	5903	4453
570	5914	4443
571	5924	4433
572	5936	4423
573	5946	4413
574	5957	4403
575	5967	4392
576	5977	4382
577	5987	4371
578	5998	4361
579	6011	4352
580	6021	4342
581	6031	4331
582	6039	4319
583	6048	4308
584	6057	4297
585	6066	4286
586	6074	4273
587	6083	4262
588	6091	4250
589	6100	4239
590	6108	4227
591	6116	4215
592	6125	4204
593	6133	4192
594	6141	4180
595	6149	4168
596	6157	4156
597	6165	4145
598	6174	4133
599	6184	4122
600	6195	4112
601	6204	4102
602	6214	4091
603	6222	4079
604	6231	4068
605	6238	4056
606	6246	4044
607	6255	4032
608	6262	4020
609	6270	4009
610	6278	3997
611	6287	3985
612	6294	3973
613	6303	3962
614	6311	3950
615	6319	3939
616	6328	3928
617	6335	3916
618	6343	3904
619	6352	3893
620	6360	3881
621	6369	3870
622	6378	3859
623	6386	3848
624	6394	3836
625	6402	3825
626	6411	3814
627	6420	3802
628	6428	3791
629	6436	3780
630	6446	3769
631	6454	3758
632	6463	3747
633	6471	3735
634	6479	3724
635	6488	3713
636	6496	3702
637	6505	3690
638	6513	3679
639	6522	3668
640	6530	3657
641	6539	3646
642	6547	3635
643	6556	3624
644	6565	3613
645	6573	3601
646	6581	3590
647	6589	3579
648	6598	3568
649	6607	3557
650	6615	3546
651	6624	3535
652	6632	3524
653	6641	3513
654	6650	3502
655	6659	3492
656	6667	3480
657	6675	3469
658	6683	3458
659	6690	3446
660	6698	3435
661	6705	3423
662	6713	3412
663	6721	3401
664	6728	3389
665	6736	3378
666	6744	3367
667	6752	3356
668	6760	3344
669	6767	3333
670	6775	3322
671	6782	3310
672	6790	3299
673	6798	3288
674	6806	3276
675	6813	3265
676	6820	3254
677	6830	3243
678	6840	3233
679	6848	3222
680	6855	3211
681	6863	3200
682	6871	3189
683	6880	3178
684	6891	3168
685	6901	3158
686	6911	3148
687	6921	3138
688	6931	3128
689	6941	3118
690	6952	3108
691	6962	3099
692	6973	3089
693	6984	3079
694	6995	3070
695	7006	3060
696	7016	3050
697	7028	3040
698	7037	3030
699	7048	3020
700	7058	3010
701	7068	3000
702	7078	2990
703	7088	2980
704	7098	2970
705	7109	2960
706	7118	2950
707	7128	2940
708	7138	2929
709	7148	2919
710	7158	2909
711	7168	2899
712	7178	2889
713	7188	2879
714	7198	2869
715	7207	2858
716	7215	2847
717	7224	2837
718	7232	2826
719	7243	2816
720	7254	2807
721	7262	2796
722	7272	2786
723	7280	2775
724	7289	2764
725	7298	2754
726	7306	2743
727	7313	2732
728	7321	2721
729	7331	2711
730	7341	2701
731	7351	2691
732	7362	2681
733	7372	2671
734	7382	2661
735	7392	2651
736	7402	2641
737	7412	2631
738	7423	2621
739	7433	2611
740	7444	2602
741	7453	2591
742	7463	2581
743	7473	2571
744	7483	2561
745	7493	2551
746	7503	2541
747	7513	2531
748	7524	2521
749	7532	2510
750	7542	2500
751	7553	2491
752	7564	2481
753	7574	2471
754	7583	2460
755	7592	2450
756	7602	2440
757	7612	2430
758	7621	2420
759	7631	2410
760	7642	2400
761	7652	2390
762	7662	2380
763	7673	2370
764	7683	2360
765	7692	2350
766	7702	2340
767	7710	2329
768	7719	2318
769	7728	2308
770	7739	2298
771	7749	2288
772	7759	2278
773	7770	2268
774	7780	2258
775	7790	2248
776	7800	2238
777	7809	2228
778	7819	2218
779	7828	2208
780	7838	2197
781	7849	2188
782	7858	2177
783	7868	2167
784	7878	2157
785	7888	2147
786	7898	2137
787	7906	2127
788	7916	2117
789	7924	2106
790	7932	2095
791	7941	2085
792	7951	2075
793	7960	2065
794	7971	2055
795	7981	2045
796	7990	2035
797	8001	2025
798	8009	2014
799	8017	2004
800	8027	1994
801	8037	1984
802	8048	1974
803	8058	1964
804	8069	1954
805	8079	1944
806	8088	1934
807	8097	1924
808	8105	1913
809	8116	1903
810	8126	1893
811	8133	1883
812	8141	1872
813	8152	1862
814	8163	1852
815	8171	1842
816	8179	1832
817	8189	1822
818	8196	1811
819	8204	1801
820	8212	1790
821	8220	1780
822	8228	1769
823	8236	1759
824	8244	1748
825	8253	1738
826	8260	1728
827	8268	1717
828	8277	1707
829	8285	1696
830	8293	1686
831	8301	1676
832	8308	1665
833	8316	1655
834	8324	1644
835	8332	1634
836	8340	1624
837	8348	1613
838	8358	1604
839	8366	1593
840	8375	1583
841	8383	1573
842	8392	1563
843	8401	1552
844	8411	1542
845	8418	1532
846	8426	1522
847	8434	1511
848	8442	1501
849	8450	1491
850	8458	1480
851	8466	1470
852	8474	1460
853	8482	1450
854	8491	1440
855	8499	1429
856	8508	1419
857	8516	1409
858	8524	1399
859	8532	1389
860	8541	1378
861	8549	1368
862	8558	1358
863	8566	1348
864	8575	1338
865	8583	1328
866	8592	1318
867	8603	1308
868	8611	1298
869	8621	1288
870	8632	1278
871	8643	1268
872	8654	1258
873	8663	1249
874	8671	1238
875	8681	1228
876	8692	1219
877	8702	1209
878	8710	1199
879	8718	1188
880	8726	1178
881	8734	1168
882	8742	1158
883	8750	1148
884	8758	1138
885	8767	1128
886	8777	1118
887	8787	1108
888	8795	1098
889	8802	1087
890	8810	1077
891	8818	1067
892	8825	1057
893	8832	1047
894	8840	1037
895	8850	1027
896	8859	1017
897	8869	1007
898	8878	997
899	8888	987
900	8897	977
901	8905	967
902	8915	957
903	8925	947
904	8936	938
905	8947	928
906	8957	918
907	8968	908
908	8978	898
909	8988	889
910	8999	879
911	9008	869
912	9019	859
913	9027	849
914	9037	839
915	9048	829
916	9056	819
917	9064	809
